Nume	Prenume	Instanta
BĂNCILĂ	ANDREI DORIN	CurteadeApelALBAIULIA
CISMARU 	MONICA MARIA	CurteadeApelALBAIULIA
CLONTA	MARIANA CLAUDIA	CurteadeApelALBAIULIA
COJAN 	MIHAELA FLORENTINA	CurteadeApelALBAIULIA
COJOCARU	CARLA - MARIA	CurteadeApelALBAIULIA
CORAŞ	LEONTIN	CurteadeApelALBAIULIA
COVACIU	MARIA ELENA	CurteadeApelALBAIULIA
DAVID	DIANA BIANCA	CurteadeApelALBAIULIA
DEHELEAN	LAURA-MARIA	CurteadeApelALBAIULIA
DORIANI	ANA	CurteadeApelALBAIULIA
DURBACĂ	NICOLAE	CurteadeApelALBAIULIA
FARCAS	MONICA FELICIA	CurteadeApelALBAIULIA
FIT	CARMEN CORINA	CurteadeApelALBAIULIA
FLOREA	MARIETA CAROLINA	CurteadeApelALBAIULIA
GHERMAN	LUCIAN IOAN	CurteadeApelALBAIULIA
GHITOAICA	ILEANA DANA	CurteadeApelALBAIULIA
HANCĂŞ	EMIL ADRIAN	CurteadeApelALBAIULIA
IONESCU	MARIUS IONEL	CurteadeApelALBAIULIA
IRIMIE	MARIUS CORNEL	CurteadeApelALBAIULIA
KERESZTES	MARIA	CurteadeApelALBAIULIA
LODOABA	ALINA	CurteadeApelALBAIULIA
MARCU	STANCA - IOANA	CurteadeApelALBAIULIA
MARGINEAN	LETITIA DANIELA	CurteadeApelALBAIULIA
MERCA	GABRIELA MIHAELA	CurteadeApelALBAIULIA
MOCAN	AURELIAN GHEORGHE	CurteadeApelALBAIULIA
MAN	MARIOARA CECILIA	CurteadeApelALBAIULIA
MOTOLEA	MARIUS AUREL	CurteadeApelALBAIULIA
NANEA 	MARIANA NICOLETA	CurteadeApelALBAIULIA
NEAMTIU	ANCA ALEXANDRINA	CurteadeApelALBAIULIA
NICOARA	CRISTINA GHEORGHINA	CurteadeApelALBAIULIA
NOŞLĂCAN	MIRCEA	CurteadeApelALBAIULIA
ODAGIU	GHEORGHE - LIVIU	CurteadeApelALBAIULIA
PAŞTIU	ALEXANDRA IULIANA	CurteadeApelALBAIULIA
PETRAŞCU	OANA - MARIA	CurteadeApelALBAIULIA
POP	FLORINA IONELA	CurteadeApelALBAIULIA
POP	MIRELA CĂTĂLINA	CurteadeApelALBAIULIA
PURA	ANCUŢA	CurteadeApelALBAIULIA
STÂNGĂ	OLIMPIA MARIA	CurteadeApelALBAIULIA
STOICA	MANUELA CORINA	CurteadeApelALBAIULIA
ŞERBAN	MĂDĂLINA	CurteadeApelALBAIULIA
TITIAN	DANA	CurteadeApelALBAIULIA
TRIF	SANDA	CurteadeApelALBAIULIA
VESA	NICOLETA MANUELA	CurteadeApelALBAIULIA
ARION	BLANCA ADELA	TribunalulALBA
BISU PREDAN	GEORGETA	TribunalulALBA
BUTA 	BOGDAN MARIUS	TribunalulALBA
CHIRIAC	DRAGOS SEBASTIAN	TribunalulALBA
COSTEA	MONICA CRISTINA	TribunalulALBA
CROITORU	CARMEN	TribunalulALBA
DAMIAN	LIVIA	TribunalulALBA
DUMBRĂVEAN	ELENA	TribunalulALBA
FONOAGE	CAMELIA ILEANA	TribunalulALBA
FULEA	MARIA ELENA AURELIANA	TribunalulALBA
GASPAR	ELENA DANIELA	TribunalulALBA
ILIESCU	GEORGETA	TribunalulALBA
IOSA	SILVIA	TribunalulALBA
LUPE	CARMEN	TribunalulALBA
LUPEAN	HADRIAN	TribunalulALBA
MENCHIU	MARIUS IOAN	TribunalulALBA
MUNTEAN	GIANINA CRISTINELA	TribunalulALBA
MURESAN	CORNELIA	TribunalulALBA
PASCARU PAG	ELENA LUCIA	TribunalulALBA
POLEAC	MIRELA SORINA	TribunalulALBA
POMANĂ	FLORIN	TribunalulALBA
POP	AURELIU CLAUDIU	TribunalulALBA
POPESCU	LAURA AURELIA	TribunalulALBA
SIMA	DIANA MARIA	TribunalulALBA
SIMION	ILEANA GABRIELA	TribunalulALBA
ŞCHIOPU	FLORICA	TribunalulALBA
ŢÂMPEA	TEODORA - MARIA	TribunalulALBA
VALUCH	LUMINITA	TribunalulALBA
BASARABA 	LUCIA	JudecatoriaALBAIULIA
BIC	DENISA MARIA	JudecatoriaALBAIULIA
COTEA	FELICIAN SERGIU	JudecatoriaALBAIULIA
CREŢA	MARIA - OFELIA	JudecatoriaALBAIULIA
CRISTEA	HORIA DORIN	JudecatoriaALBAIULIA
DRAGOŞ	NICOLETA EMILIA	JudecatoriaALBAIULIA
GLIGOR	GABRIELA FLORENTINA	JudecatoriaALBAIULIA
GROZAV	ADRIANA - MARIA	JudecatoriaALBAIULIA
HORVAT	EMILIA LAVINIA	JudecatoriaALBAIULIA
MENCHIU	DENISA FLAVIA	JudecatoriaALBAIULIA
PLEŞA 	DIANA ELISABETH	JudecatoriaALBAIULIA
SALCU - POP	IOANA CRISTINA	JudecatoriaALBAIULIA
SÎRBU	ANA-DANIELA	JudecatoriaALBAIULIA
SÎRBU	FLORIN	JudecatoriaALBAIULIA
TOTH	ŞTEFAN OVIDIU	JudecatoriaALBAIULIA
AXINTE	CONSTANTIN	JudecatoriaCAMPENI
COROIU	VIORICA ELENA	JudecatoriaCAMPENI
COZMA	VIOREL DAN	JudecatoriaCAMPENI
DANCIU	STEFAN CORNEL	JudecatoriaCAMPENI
BIC	ANCA MARIA	JudecatoriaAIUD
CRIŞAN	MARIA LUMINIŢA	JudecatoriaAIUD
FILIMON	ELENA ADRIANA	JudecatoriaAIUD
FILIP	LUMINIŢA MARIA	JudecatoriaAIUD
MITRICĂ	VIORICA	JudecatoriaAIUD
TEODORESCU	ANA FELICIA	JudecatoriaAIUD
BRĂDOSU	ADRIANA – BIANCA	JudecatoriaBLAJ
FOLEA	CAMELIA	JudecatoriaBLAJ
ONIGA	DIANA	JudecatoriaBLAJ
STANCIU	ROXANA ELENA	JudecatoriaBLAJ
MARCU	LIVIU MARCEL	JudecatoriaSEBES
RĂZĂILĂ 	CARMEN SIMONA	JudecatoriaSEBES
RUSU	LAURA	JudecatoriaSEBES
SAVU 	ANA – MARIA	JudecatoriaSEBES
BADISTRU	ELLA CRISTINA	TribunalulHUNEDOARA
BOLOLOI	MIHAELA SIMONA	TribunalulHUNEDOARA
BRICEAG	PERICLE	TribunalulHUNEDOARA
BULIGAN	MIHAELA LILIANA	TribunalulHUNEDOARA
BUZDUGEANU	CRISTINA	TribunalulHUNEDOARA
CĂLĂRAŞU	CRISTINA VIOLETA	TribunalulHUNEDOARA
CONTA	MIHAELA –AURELIA	TribunalulHUNEDOARA
COREGA	ADRIAN DUMITRU	TribunalulHUNEDOARA
COTEA	MARIA	TribunalulHUNEDOARA
DRAGAN	IOAN	TribunalulHUNEDOARA
DRAIA	VIOLINA FLOAREA	TribunalulHUNEDOARA
DUCA	CORINA MARIANA	TribunalulHUNEDOARA
FILIMON	CORNELIA	TribunalulHUNEDOARA
GORON	MARIA	TribunalulHUNEDOARA
GROZAVESCU	ANUTA	TribunalulHUNEDOARA
IACOB	MARINELA	TribunalulHUNEDOARA
IFTIMUS	ADINA-CAMELIA	TribunalulHUNEDOARA
IOJA	IOAN EUGEN	TribunalulHUNEDOARA
MUGESCU	VIORICA ADRIANA	TribunalulHUNEDOARA
